Isolate,mdf(A) ,mph(A,fosA,fosA7,sul1,sul2,tet(A),tet(B),aac(3)-Via,aadA1,aadA5,aph(3')-Ia,aph(3'')-Ib,aph(6)-Id,blaTEM-1B,catA1,dfrA8,dfrA17,"Nalidixic acid,Ciprofloxacin","Erythromycin,Azithromycin,Telithromycin"
24742_1#83,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24742_1#84,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24742_1#85,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24742_1#86,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24742_1#88,1,0,0,0,0,1,1,0,0,0,0,1,1,1,1,0,0,0,0,0
25964_1#102,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25964_1#103,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25964_1#104,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25964_1#108,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25964_1#112,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25964_1#115,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25964_1#116,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25964_1#118,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
25964_1#119,1,0,0,0,0,1,1,0,0,0,0,1,1,1,0,1,1,0,0,0
25964_1#120,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25964_1#127,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25964_1#135,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25964_1#151,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25964_1#152,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25964_1#159,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
