Sample ID,Number of contigs,N50 value,Number of total reads,% of reads Unclassified,% of reads Escherichia.coli,Continet of isolation,Country of isolation,Host spieces,DataBase,Date of isolation,Ampicillin,Cefotaxime,Ceftazidime,Cefuroxime,Cephalothin,Ciprofloxacin,Gentamycin,Tobramycin,Trimethoprim
24742_1#60,121,8,866127,1.38,68.55,North America,Mexico,Canis latrans,Souza,1999,R,S,S,S,S,S,S,S,S
24742_1#61,183,21,804681,9.22,48.38,North America,Mexico,Felis catus,Souza,1999,R,S,S,S,S,S,S,S,S
24742_1#62,77,10,858313,1.09,49.28,North America,Mexico,Panthera onca ,Souza,1999,R,S,S,S,S,S,S,S,S
24742_1#63,42,5,745085,1.8,87.81,North America,Mexico,Bassariscus astutus,Souza,1999,S,S,S,S,S,S,S,S,S
24742_1#64,45,5,827029,1.41,47.71,North America,Mexico,Didelphis virginiana ,Souza,1999,R,S,S,S,S,S,S,S,S
24742_1#65,46,8,718987,0.85,49.18,North America,Mexico,Felis catus,Souza,1999,R,S,S,S,S,S,S,S,S
24742_1#66,41,6,817527,1.17,49.37,North America,Mexico,Oryctolagus cuniculus ,Souza,1999,S,S,R,S,S,S,S,S,S
24742_1#67,57,5,868269,1.18,82.73,North America,Mexico,Canis latrans ,Souza,1999,R,S,S,S,S,S,R,R,S
24742_1#68,41,7,781588,0.53,49.38,North America,Mexico,Didelphis virginiana ,Souza,1999,R,S,S,S,S,S,S,S,S
24742_1#69,54,8,858095,0.86,49.02,North America,Mexico,Felis catus,Souza,1999,R,S,S,S,S,S,S,S,S
24742_1#70,34,5,1038836,1.35,47.76,North America,Mexico,Didelphis virginiana,Souza,1999,R,S,S,S,S,S,S,S,S
24742_1#71,49,9,859736,1.83,78.36,North America,Mexico,Felis concolor ,Souza,1999,R,S,S,S,S,S,S,S,S
24742_1#72,47,4,770861,29.8,1.33,South America,Mexico,Mus musculus ,Souza,1999,R,S,S,S,R,S,S,S,S
24742_1#73,87,12,791020,14.42,45.35,North America,Mexico,Oryzomys sp. ,Souza,1999,R,S,S,S,R,S,S,S,S
24742_1#74,120,8,803136,6.32,79.14,North America,Mexico,Felis concolor ,Souza,1999,R,S,S,S,S,S,S,S,S
24742_1#75,178,14,761875,2.17,52.72,North America,Mexico,Mus musculus ,Souza,1999,R,S,S,S,S,S,S,S,S
24742_1#76,7080,746,885368,8.39,44.76,North America,Mexico,Oryzomys sp. ,Souza,1999,R,S,S,S,S,S,S,S,S
24742_1#77,27,4,734541,20.55,1.57,North America,Mexico,Carollia brevicauda ,Souza,1999,R,S,R,S,R,S,S,S,S
24742_1#78,79,6,955502,0.13,85.92,NF,NF,Gallus gallus ,Souza,1999,R,S,S,S,S,S,S,S,R
