Isolate,Genus,Order,mdf(A) ,mph(A,fosA,fosA7,sul1,sul2,tet(A),tet(B),aac(3)-Via,aadA1,aadA5,aph(3')-Ia,aph(3'')-Ib,aph(6)-Id,blaTEM-1B,catA1,dfrA8,dfrA17,"Nalidixic acid,Ciprofloxacin","Erythromycin,Azithromycin,Telithromycin"
25964_1#238,Arremon,Passeriformes,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
25964_1#239,Peromyscus,Rodentia,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25964_1#247,Procyon,Carnivora,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
25964_1#263,Procyon,Carnivora,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25964_1#264,Tamandua,Pilosa,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0
25964_1#273,Urocyon,Carnivora,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25964_1#279,Romerolagus,Lagomorpha,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25964_1#280,Tursiops,Artiodactyla,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25964_1#289,Bassariscus,Carnivora,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25964_1#329,Canis,Carnivora,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25964_1#97,Bassariscus,Carnivora,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25964_1#98,Bassariscus,Carnivora,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25964_1#99,Canis,Carnivora,1,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0
27970_1#122,Canis,Carnivora,1,0,0,0,1,0,1,1,1,1,0,0,1,1,0,0,0,0,1,0
27970_1#156,Canis,Carnivora,1,0,0,0,1,0,1,1,1,1,0,0,1,1,0,0,0,0,1,0
27970_1#188,Dipodomys,Rodentia,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27970_1#250,Oryctolagus,Lagomorpha,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27970_1#28,Bassariscus,Carnivora,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27970_1#310,Artibeus,Chiroptera,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
27970_1#342,Ateles,Primates,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27970_1#362,Panthera,Carnivora,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27970_1#374,Baiomys,Rodentia,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27970_1#90,Bos,Artiodactyla,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
27970_2#101,Tadarida,Chiroptera,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27970_2#189,Peromyscus,Rodentia,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27970_2#217,Tursiops,Artiodactyla,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27970_2#9,Panthera,Carnivora,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
